unique_id,ExtraDay
T42A_S_VR,0
Y98A_S_VR,0
Y80A_S_VR,0
V47B_M_VR,0
Y01A_S_VR,0
A73A_S_VR,0
B62V_M_PO,0
R19_S_VR,0
X58_S_VR,0
X25A_L_VR,0
X25A_M_VR,0
W22BV_S_PO,0
W63A_S_VR,0
D03A_S_VR,0
D67B_L_VR,0
D67B_S_VR,0
D80B_S_VR,0
N38A_L_VR,1
A56B_S_VR,0
N38A_S_VR,1
X02C_L_PO,0
I17B_S_VR,0
L119_M_VR,0
X87A_S_VR,0
X100_L_VR,0
X100_S_VR,0
K67A_S_VR,0
Y43A_M_VR,0
Y43A_S_VR,0
D94B_S_VR,0
A57A_S_VR,0
T58C_S_VR,0
N04_S_VR,0
B57_M_VR,0
T60C_S_VR,0
S20A_S_VR,0
X81_L_VR,0
W95A_S_VR,0
I45A_S_VR,0
V74A_S_VR,0
B03B_L_VR,0
J06_M_VR,0
N08A_M_VR,0
A60C_L_PO,0
L19_S_VR,0
Y52_S_VR,0
K71B_S_VR,0
S01B_S_VR,1
X03_S_VR,0
B56B_S_VR,0
V75B_S_VR,0
Z48_S_VR,0
Q11A_L_PO,0
M65B_S_VR,0
Q11A_S_VR,0
B56B_M_VR,0
V89A_S_VR,0
X86_M_VR,0
B53V_L_PO,0
X08D_L_PO,0
V77B_S_VR,0
K70A_S_VR,0
X82A_S_VR,0
D88B_S_VR,0
L81B_S_VR,0
N16AV_S_VR,1
L81A_S_VR,0
A60B_S_VR,0
V46A_S_VR,0
C23B_S_VR,0
D26A_S_VR,0
I45B_S_VR,0
Y26B_L_VR,0
Q06A_M_VR,0
X81_M_VR,0
H30A_S_VR,0
B86B_S_VR,0
N11A_S_VR,0
L116_S_VR,0
Y08A_S_VR,0
C62A_S_VR,0
B57V_L_PO,0
I44A_S_VR,0
A67B_S_VR,0
A67A_S_VR,0
L82_S_VR,0
K66B_S_VR,0
X90A_S_VR,0
T62A_S_VR,0
Q30B_S_VR,0
Q30B_L_VR,0
Y26B_S_VR,0
Y27B_S_VR,0
Y27B_L_VR,0
B75A_S_VR,0
Y41D_S_VR,0
S21B_L_PO,0
A05B_S_VR,0
D53_M_VR,0
H39B_S_VR,0
H32B_S_VR,0
Y08C_S_VR,0
A54B_S_VR,0
Y45A_S_VR,0
T72A_S_VR,0
V87_S_VR,0
V87_L_VR,0
C61B_S_VR,0
D89B_S_VR,0
S21B_S_VR,1
Y26A_S_VR,0
A51B_S_VR,0
X09A_S_VR,0
H21D_S_VR,0
M65A_S_VR,0
S05A_S_VR,0
X04_S_VR,0
A02A_S_VR,0
M65A_L_PO,0
A54B_L_PO,0
Z27A_S_VR,0
X88V_S_PO,0
V44B_M_VR,0
